trials.thisTrialN,trials.stepSize,trials.intensity,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.026629900035914034,,0.008972299983724952,0.026629900035914034,0.5862434000009671,0.5862434000009671,0.5862434000009671,0.9103811000240967,1.3673757000360638,right,10.0,1,1,0.7084791999659501,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
1,2,8.0,1.3750389000051655,,1.3674785000039265,1.3750389000051655,1.8769365000189282,1.8769365000189282,1.8769365000189282,2.1930493999971077,2.396795700013172,right,8.0,1,1,0.5086628000135534,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
2,2,6.0,2.426443200034555,,2.396917800011579,2.426443200034555,2.960064599988982,2.9279734999872744,2.9279734999872744,3.242957899987232,3.611492399999406,left,-6.0,1,1,0.6717837000032887,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
3,2,4.0,3.6261862000101246,,3.611582899990026,3.6261862000101246,4.144151600019541,4.125976599985734,4.125976599985734,4.4614881000015885,4.762172400020063,right,4.0,1,1,0.6218630999792367,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
4,2,2.0,4.776979800022673,,4.7622828999883495,4.776979800022673,5.276670799998101,5.276670799998101,5.276670799998101,5.595630600000732,5.962159399990924,left,-2.0,1,1,0.6562050999491476,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
5,2,1.0,5.993586600001436,,5.962257800041698,5.993586600001436,6.509847900015302,6.479018200014252,6.479018200014252,6.778132900013588,7.195158599992283,right,1.0,1,1,0.7129574000136927,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
6,2,1.0,7.211031000013463,,7.19527259998722,7.211031000013463,7.727973000030033,7.710663600009866,7.710663600009866,8.0440835999907,9.128436200029682,left,-1.0,1,1,1.4024981999536976,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
7,2,1.0,9.16092789999675,,9.128513300034683,9.16092789999675,9.662166399997659,9.643839700031094,9.643839700031094,9.944682000030298,10.361609500017948,left,-1.0,1,1,0.714169499988202,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
8,2,1.0,10.376666099997237,,10.361704899987672,10.376666099997237,10.876756399986334,10.876756399986334,10.876756399986334,11.180074000032619,11.677607599995099,left,-1.0,1,1,0.7911509999539703,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
9,2,1.0,11.693023100029677,,11.677677100000437,11.693023100029677,12.194626900018193,12.194626900018193,12.194626900018193,12.51050450000912,13.263704000040889,left,-1.0,1,1,1.0611593999783508,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
10,2,1.0,13.296785400016233,,13.263871900038794,13.296785400016233,13.844732000026852,13.77864870004123,13.77864870004123,14.093948299996555,14.728721700026654,left,-1.0,1,1,0.9438113000360318,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
11,2,1.0,14.760103600041475,,14.728808399988338,14.760103600041475,15.260113700001966,15.243139800033532,15.243139800033532,15.561211400025059,15.762651099998038,left,-1.0,1,1,0.5145689999917522,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
12,2,1.0,15.777606600022409,,15.762746800028253,15.777606600022409,16.294129899994005,16.294129899994005,16.294129899994005,16.612048999988474,16.977452100021765,right,1.0,1,1,0.6687115000095218,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
13,2,1.0,16.994409600039944,,16.97755260003032,16.994409600039944,17.510927900031675,17.49315530003514,17.49315530003514,17.81113019998884,18.128300499985926,left,-1.0,1,1,0.6178426999831572,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
14,2,1.0,18.159797200001776,,18.128389100020286,18.159797200001776,18.66313200001605,18.62754270003643,18.62754270003643,18.944626900018193,19.64442790002795,left,-1.0,1,1,0.9981583000044338,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
15,2,1.0,19.67749269999331,,19.644538199994713,19.67749269999331,20.19488900003489,20.144339699996635,20.144339699996635,20.460457300010603,20.69572469999548,left,-1.0,1,1,0.5486980999703519,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
16,2,1.0,20.70952919998672,,20.695818100008182,20.70952919998672,21.227252100012265,21.209528400038835,21.209528400038835,21.528087200014852,22.595946500019636,left,-1.0,1,1,1.383211999956984,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
17,2,1.0,22.610811999998987,,22.596067500009667,22.610811999998987,23.111665600037668,23.111665600037668,23.111665600037668,23.443584199994802,24.026603400008753,right,1.0,1,1,0.9028693999862298,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
18,2,1.0,24.04335320001701,,24.02669110003626,24.04335320001701,24.576897000020836,24.543977199995425,24.543977199995425,24.843927500012796,25.12751640001079,left,-1.0,1,1,0.5586127000278793,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
19,2,1.0,25.159070199995767,,25.127606599999126,25.159070199995767,25.67810770001961,25.645255300041754,25.645255300041754,25.943992500018794,26.329341700009536,left,-1.0,1,1,0.672798799991142,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
20,2,1.0,26.344558499986306,,26.32944480003789,26.344558499986306,26.860554700018838,26.84475150000071,26.84475150000071,27.16146650002338,27.946507000015117,right,1.0,1,1,1.070981299970299,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
21,1,1.0,27.960621600039303,,27.94661470002029,27.960621600039303,28.49502540001413,28.49502540001413,28.49502540001413,28.811942800006364,30.894633700023405,right,1.0,0,0,2.3832986999768764,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
22,1,2.0,30.929883800039534,,30.89475640002638,30.929883800039534,31.462195400032215,31.39516170002753,31.39516170002753,31.711294000037014,31.87783670000499,left,-2.0,1,1,0.46897489996626973,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
23,1,2.0,31.894117799995,,31.877949099987745,31.894117799995,32.41201179998461,32.41201179998461,32.41201179998461,32.74430810002377,32.978787300002296,right,2.0,1,1,0.5514947000192478,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
24,1,2.0,32.993229100015014,,32.97889969998505,32.993229100015014,33.52581680001458,33.52581680001458,33.52581680001458,33.86025130003691,34.04581219999818,right,2.0,1,1,0.49625450000166893,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
25,1,1.0,34.078626200032886,,34.045922600023914,34.078626200032886,34.610571500030346,34.57692359999055,34.57692359999055,34.8781927000382,35.16215099999681,left,-1.0,1,1,0.5744741999660619,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
26,1,1.0,35.19446590001462,,35.16230870003346,35.19446590001462,35.711764900013804,35.67728529998567,35.67728529998567,35.97826080000959,37.01429210003698,right,1.0,1,1,1.3234093000064604,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
27,1,1.0,37.04476499999873,,37.014396300015505,37.04476499999873,37.54430730000604,37.527534599998035,37.527534599998035,37.85885479999706,38.17856999998912,left,-1.0,1,1,0.6451598999556154,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
28,0.5,1.0,38.21095530001912,,38.17865220003296,38.21095530001912,38.71191930002533,38.67837169999257,38.67837169999257,38.99603410001146,39.46330800000578,right,1.0,0,0,0.7724670000025071,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
29,0.5,1.5,39.495177100005094,,39.463415600010194,39.495177100005094,40.011963099997956,39.97742519999156,39.97742519999156,40.277821200026665,41.27737570001045,right,1.5,1,1,1.2876037000096403,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
30,0.5,1.5,41.292910400021356,,41.27746280003339,41.292910400021356,41.79383919999236,41.77771960000973,41.77771960000973,42.094788099988364,42.46345989999827,left,-1.5,1,1,0.6537432000041008,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
31,0.5,1.5,42.49574660003418,,42.463582500000484,42.49574660003418,43.014687900024,42.97727999999188,42.97727999999188,43.27830320002977,43.59804030001396,left,-1.5,1,1,0.615172799967695,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
32,0.5,1.0,43.629295699996874,,43.598214700003155,43.629295699996874,44.160906000004616,44.110857799998485,44.110857799998485,44.41061319998698,44.57684300001711,right,1.0,0,0,0.4577009999775328,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
33,0.5,1.5,44.59374280000338,,44.57694100000663,44.59374280000338,45.110911800002214,45.110911800002214,45.110911800002214,45.4109357999987,45.644530299992766,right,1.5,1,1,0.5146912999916822,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
34,0.5,1.5,45.67691839998588,,45.64463520003483,45.67691839998588,46.194089099997655,46.143912700004876,46.143912700004876,46.444258100003935,46.86254020000342,left,-1.5,1,1,0.7023140999954194,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
35,0.5,1.5,46.87771790003171,,46.862695100018755,46.87771790003171,47.39407510001911,47.37709940003697,47.37709940003697,47.71048459998565,47.92867320001824,left,-1.5,1,1,0.5346822999999858,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
36,0.5,1.0,47.94280150003033,,47.92878409998957,47.94280150003033,48.47692530002678,48.47692530002678,48.47692530002678,48.79430519999005,49.21160959999543,right,1.0,1,1,0.7236026999889873,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
37,0.5,1.0,49.22633229999337,,49.2116803000099,49.22633229999337,49.760398100013845,49.72767180000665,49.72767180000665,50.02675449999515,50.34390999999596,left,-1.0,1,1,0.6112036000122316,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
38,0.5,1.0,50.3597512000124,,50.343980700010434,50.3597512000124,50.876755200035404,50.860398299992085,50.860398299992085,51.16177740000421,51.581553900032304,left,-1.0,1,1,0.7035899000475183,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
39,0.5,1.0,51.61277030000929,,51.58175280003343,51.61277030000929,52.14574559999164,52.11251220002305,52.11251220002305,52.42828150000423,53.31335900002159,left,-1.0,1,1,1.1961990999989212,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
40,0.5,1.0,53.32745149999391,,53.31347120000282,53.32745149999391,53.85934510000516,53.82916220003972,53.82916220003972,54.14445160003379,54.546466000028886,left,-1.0,1,1,0.7090337999979965,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
41,0.5,1.0,54.57864760002121,,54.54657420003787,54.57864760002121,55.07898669998394,55.045076100039296,55.045076100039296,55.36087570001837,55.83112610003445,left,-1.0,1,1,0.7789385999785736,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
42,0.5,1.0,55.86058540001977,,55.831246500019915,55.86058540001977,56.36064979998628,56.34466890001204,56.34466890001204,56.66166769998381,56.91125150001608,left,-1.0,1,1,0.5577737999847159,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
43,0.5,1.0,56.927083100017626,,56.91133239999181,56.927083100017626,57.44479079998564,57.42670140002156,57.42670140002156,57.74493889999576,57.97841660003178,left,-1.0,1,1,0.5488093000021763,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
44,0.5,1.0,57.994151399994735,,57.97849710000446,57.994151399994735,58.51230539998505,58.51230539998505,58.51230539998505,58.81134680000832,59.15217630000552,left,-1.0,1,1,0.629515300039202,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
45,0.5,1.0,59.16809600003762,,59.15236680000089,59.16809600003762,59.678390500019304,59.678390500019304,59.678390500019304,59.99490650004009,60.36234789999435,right,1.0,1,1,0.6587953999987803,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
46,0.5,1.0,60.39526770001976,,60.36244880000595,60.39526770001976,60.92748150002444,60.877387700020336,60.877387700020336,61.17757460003486,61.9638028999907,left,-1.0,0,0,1.0819037000183016,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
47,0.5,1.5,61.97726990003139,,61.96390110003995,61.97726990003139,62.47723910002969,62.47723910002969,62.47723910002969,62.77991049998673,63.41291569999885,right,1.5,1,1,0.9343761999625713,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
48,0.5,1.5,63.42735409998568,,63.412987200019415,63.42735409998568,63.96200250001857,63.928997999988496,63.928997999988496,64.24366839998402,64.5293745000381,left,-1.5,1,1,0.5807794000138529,173767,001,2024-09-10_11h22.05.971,Adaptive_Staircase,2024.1.5,None,2024-09-10 11h22.26.431876 +0530,
